Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2022-2023,Nicolas Roy,VGK,C,65,825.9333333,9,10,7,3,19,59.38,64,14.06,8.09,130,93,90,47,1,6,18,9,9,0,0,11,13,34,79,66,30,298,322,48.06
2022-2023,Eric Robinson,CBJ,L,72,825.6,10,10,4,6,20,90.91,89,11.24,10.01,171,120,98,53,3,23,6,3,3,0,0,7,13,18,121,62,22,2,7,22.22
2022-2023,Sam Bennett,FLA,C,63,825.3333333,9,18,11,7,27,61.36,141,6.38,14.49,229,183,152,77,13,21,44,21,21,0,0,17,29,25,136,47,24,354,380,48.23
2022-2023,Trevor Lewis,CGY,C,82,825.0333333,6,11,7,4,17,62.96,129,4.65,9.82,206,173,98,46,7,21,18,9,9,0,0,3,11,18,152,105,25,103,146,41.37
2022-2023,Teuvo Teravainen,CAR,L,68,824.2666667,4,16,12,4,20,54.05,90,4.44,7.52,149,122,82,30,4,15,12,6,6,0,0,1,39,31,14,30,12,22,13,62.86
2022-2023,Vladislav Namestnikov,"T.B, WPG",C,77,824.15,7,14,5,9,21,61.76,97,7.22,11.16,156,128,110,59,2,20,29,13,12,1,0,15,10,27,106,100,14,72,116,38.3
2022-2023,Brendan Smith,N.J,D,60,822.15,0,4,1,3,4,13.79,56,0,3.54,126,80,50,10,5,12,63,27,24,3,0,14,30,16,97,86,6,0,0,-
2022-2023,Kailer Yamamoto,EDM,R,58,821.9,9,12,5,7,21,52.5,82,10.98,11.96,117,101,97,61,6,7,20,10,10,0,0,13,17,41,75,96,17,2,6,25
2022-2023,Miles Wood,N.J,L,76,819.9666667,11,13,9,4,24,75,148,7.43,11.27,245,196,111,52,11,23,74,25,21,2,2,24,25,15,98,88,2,1,5,16.67
2022-2023,Mathew Barzal,NYI,C,58,819.2,9,21,16,5,30,76.92,90,10,8.32,159,123,103,40,6,12,16,8,8,0,0,7,42,44,24,39,30,97,176,35.53
2022-2023,Nick Ritchie,"ARI, CGY",L,74,817.5333333,9,7,5,2,16,55.17,92,9.78,11.01,148,122,101,59,7,7,47,22,21,1,0,10,16,8,208,76,30,2,7,22.22
2022-2023,Eric Staal,FLA,C,72,816.8666667,12,14,8,6,26,78.79,87,13.79,10.2,157,122,108,62,4,17,22,11,11,0,0,6,30,25,25,40,31,278,284,49.47
2022-2023,Fabian Zetterlund,"N.J, S.J",L,67,816.8333333,5,15,11,4,20,62.5,101,4.95,9.96,195,142,96,35,8,14,14,7,7,0,0,9,21,20,51,70,3,7,9,43.75
2022-2023,Pat Maroon,T.B,L,80,814.95,5,8,4,4,13,59.09,62,8.06,9.06,120,97,81,46,5,12,150,37,20,12,5,21,18,26,171,110,2,2,10,16.67
2022-2023,Mattias Janmark,EDM,C,66,814.3666667,5,14,9,5,19,63.33,70,7.14,7.39,101,88,69,47,2,7,28,14,14,0,0,10,23,20,18,91,10,25,26,49.02
2022-2023,Matias Maccelli,ARI,L,64,812.8166667,8,22,13,9,30,83.33,46,17.39,5.6,103,64,59,28,4,8,18,9,9,0,0,10,37,21,23,51,17,0,4,0
2022-2023,Calle Jarnkrok,TOR,C,73,812.4,16,13,6,7,29,72.5,85,18.82,10.48,159,124,110,48,2,11,14,7,7,0,0,9,10,16,43,103,14,23,31,42.59
2022-2023,Dakota Joshua,VAN,C,79,811.7333333,9,11,5,6,20,83.33,66,13.64,10.17,99,83,76,54,3,15,58,19,14,4,1,20,9,25,216,104,26,18,18,50
2022-2023,Patrik Laine,CBJ,L,55,803.8,13,17,10,7,30,83.33,98,13.27,8.13,201,148,103,35,5,19,12,6,6,0,0,8,29,22,25,36,22,24,41,36.92
2022-2023,Marcus Foligno,MIN,L,65,802.75,7,10,6,4,17,65.38,66,10.61,7.45,130,103,83,41,6,10,70,22,15,6,1,20,24,23,226,70,33,6,7,46.15
2022-2023,Jan Rutta,PIT,D,56,802.3166667,3,5,0,5,8,28.57,63,4.76,2.02,138,88,28,2,4,9,30,15,15,0,0,5,21,10,63,92,50,0,0,-
2022-2023,Kirby Dach,MTL,C,58,802.1833333,8,10,6,4,18,48.65,86,9.3,10.48,147,124,94,57,4,12,37,17,16,1,0,14,26,25,47,99,31,79,128,38.16
2022-2023,Steven Lorentz,S.J,C,80,802.05,8,8,2,6,16,72.73,98,8.16,11.03,176,136,111,56,3,19,16,7,7,0,0,6,15,39,130,88,6,236,254,48.16
2022-2023,Dylan Samberg,WPG,D,63,799.1666667,2,4,1,3,6,20.69,46,4.35,1.42,113,65,26,3,2,8,25,11,10,1,0,8,29,17,85,86,51,0,0,-
2022-2023,Ryan Hartman,MIN,R,59,794.65,11,16,10,6,27,77.14,113,9.73,11.15,229,182,116,40,13,16,82,30,26,2,2,26,29,23,59,48,37,201,278,41.96
